what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1341941044571
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1341941044571
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1341941044571
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1341941044571
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1341941044571
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1341941044571
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1341941044571
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1341941044571
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1341941044571
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1341941044571
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1341941044571
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1341941044587
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1341941044587
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1341941044587
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1341941044587
os,sysinfo,,,"win32",1341941044587
arch,sysinfo,,,"x86",1341941044587
ws,sysinfo,,,"win32",1341941044587
locale,sysinfo,,,"en_US",1341941044587
processors,sysinfo,,,"4",1341941044587
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1341941044587
java.runtime.version,sysinfo,,,"1.7.0_02-b13",1341941044587
java.specification.name,sysinfo,,,"Java Platform API Specification",1341941044587
java.specification.vendor,sysinfo,,,"Oracle Corporation",1341941044587
java.specification.version,sysinfo,,,"1.7",1341941044587
java.vendor,sysinfo,,,"Oracle Corporation",1341941044587
java.version,sysinfo,,,"1.7.0_02",1341941044587
java.vm.info,sysinfo,,,"mixed mode, sharing",1341941044587
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1341941044587
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1341941044587
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1341941044587
java.vm.specification.version,sysinfo,,,"1.7",1341941044587
java.vm.vendor,sysinfo,,,"Oracle Corporation",1341941044587
java.vm.version,sysinfo,,,"22.0-b10",1341941044587
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341941045835
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341941186693
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1341941283739
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.smartEnter",1341942056884
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341942111465
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341942112745
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341942113961
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341942145113
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341942190806
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341942191430
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341942192881
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341942195127
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1341942195143
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341942195892
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341942260569
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341942303031
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341942306198
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1341942306245
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341942323482
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341942324294
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341942325510
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341942344526
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341942369752
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341942395320
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341942558231
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341942558933
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341942559994
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341942632051
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341942659819
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341942663235
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341942664124
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341943092325
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341943092387
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341943093823
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1341943093963
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341943094025
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1341943094213
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1341943094337
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1341943094337
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1341943094337
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1341943094337
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1341943094337
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1341943094337
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1341943094353
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1341943094353
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1341943094353
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1341943094369
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1341943094369
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1341943094369
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201202111925,"org.eclipse.cdt.gdb.ui",1341943094369
stopped,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1341943094369
stopped,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1341943094369
stopped,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1341943094369
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.traditional",1341943094369
stopped,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1341943094369
stopped,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1341943094369
stopped,bundle,org.eclipse.linuxtools.cdt.autotools.ui,1.0.1.201202152032,"org.eclipse.linuxtools.cdt.autotools.ui",1341943094369
stopped,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1341943094369
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.ui",1341943094369
